id,RFII-Score,Dossierstruktur,Dossier.Art,Produkt.letzte.Dossierversion,Personenhaushalt..Unterstützungseinheit.,Personen.im.Haushalt.gesamt,Personenkategorie,Zivilstand,Nationalität.Kategorien,in.CH.seit.Geb.,Alterskategorien,Erwerbssituation,Beschäftigungsgrad,Grund.Teilzeit,höchste.abgeschlossene.Ausbildung,Erlernter.Beruf.Kategorie,letzte.berufliche.Tätigkeit.Kategorie
id01477,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,2,Mehrfachhaushalt (2-3),Person mit Kind / Kinder,ledig,Schweiz,TRUE,36-45,"Angestellt, regelmässig",Eine Teilzeitstelle (bis 49%),keine Vollzeitstelle,Berufslehre/-schule,Allgemeine Büro- und Sekretariatskräfte,Allgemeine Büro- und Sekretariatskräfte
id01500,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (2-3),Alleinstehend,ledig,Schweiz,TRUE,26-35,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,kein | keine,"Hilfsarbeitskräfte, onA"
id03717,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (2-3),Alleinstehend,ledig,Schweiz,TRUE,18-25,Dauerinvalidität,NA,NA,obligatorische Schule,kein | keine,kein | keine
id03576,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (>3),Alleinstehend,ledig,Schweiz,TRUE,26-35,Arbeit auf Abruf,Eine Teilzeitstelle (bis 49%),keine Vollzeitstelle,Anlehre,"Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker",Verkaufskräfte
id01431,0.91875,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,FALSE,26-35,"Angestellt, regelmässig",NA,NA,obligatorische Schule,kein | keine,"Hilfsarbeiter im Bergbau, im Bau, bei der Herstellung von Waren und im Transportwesen"
id02072,0.982905983,Sozialhilfe,Inländer/innen,Rückerstattung,1,Einzelhaushalt,Alleinstehend,geschieden,Schweiz,TRUE,56-65,vorübergehend arbeitsunfähig,NA,NA,Berufslehre/-schule,Betriebswirte und vergleichbare Spezialisten,Betriebswirte und vergleichbare Spezialisten
id01364,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,36-45,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,kein | keine,"Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker"
id01630,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (2-3),Alleinstehend,geschieden,Schweiz,TRUE,56-65,Selbstständig,Eine Teilzeitstelle (bis 49%),Krankheit,höhere Fach- und Berufsausbildung,"Juristische, soziale, kulturelle und verwandte Fachkräfte","Juristen, Sozialwissenschaftler und Kulturberufe"
id00925,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (2-3),Alleinstehend,ledig,Schweiz,TRUE,26-35,"Angestellt, regelmässig",Vollzeit(90+),NA,Berufslehre/-schule,Allgemeine Büro- und Sekretariatskräfte,Allgemeine Büro- und Sekretariatskräfte
id02875,0.91875,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,2,Mehrfachhaushalt (2-3),Person mit Kind / Kinder,geschieden,Schweiz,FALSE,36-45,"Angestellt, regelmässig",Eine Teilzeitstelle (bis 49%),"Haushalt, familiäre Gründe",obligatorische Schule,kein | keine,Verkaufskräfte
id01358,0.91875,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (2-3),Alleinstehend,ledig,Schweiz,FALSE,18-25,"ohne Arbeit, beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,kein | keine,kein | keine
id02921,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,26-35,Arbeit auf Abruf,Eine Teilzeitstelle (50-89%),keine Vollzeitstelle,Berufslehre/-schule,Fachkräfte in der Landwirtschaft,Reinigungspersonal und Hilfskräfte
id01713,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,36-45,vorübergehend arbeitsunfähig,NA,NA,Berufslehre/-schule,Berufe im Bereich personenbezogener Dienstleistungen,Berufe im Bereich personenbezogener Dienstleistungen
id04384,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,18-25,in der Lehre,Vollzeit(90+),NA,obligatorische Schule,kein | keine,Betreuungsberufe
id00040,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (2-3),Alleinstehend,ledig,Schweiz,TRUE,26-35,"ohne Arbeit, beim Arbeitsamt gemeldet",NA,NA,Berufslehre/-schule,Fachkräfte in der Landwirtschaft,Fachkräfte in der Landwirtschaft
id02056,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (2-3),Alleinstehend,ledig,Schweiz,TRUE,26-35,in Ausbildung (ohne Lehrlinge),NA,NA,"Maturität, Berufsmatura, Diplommittelschule",kein | keine,Allgemeine Büro- und Sekretariatskräfte
id00359,0.91875,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (2-3),Alleinstehend,geschieden,Schweiz,FALSE,36-45,"ohne Arbeit, beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,kein | keine,Betreuungsberufe
id02676,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (2-3),Alleinstehend,ledig,Schweiz,TRUE,26-35,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,kein | keine,Bürokräfte mit Kundenkontakt
id03611,0.954070981,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,FALSE,56-65,vorübergehend arbeitsunfähig,NA,NA,obligatorische Schule,kein | keine,Reinigungspersonal und Hilfskräfte
id03170,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (2-3),Alleinstehend,geschieden,Schweiz,TRUE,56-65,anderes (auf Arbeitssuche),NA,NA,Berufslehre/-schule,Verkaufskräfte,Berufe im Bereich personenbezogener Dienstleistungen
id04611,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,2,Mehrfachhaushalt (2-3),Person mit Kind / Kinder,ledig,Schweiz,TRUE,26-35,vorübergehend arbeitsunfähig,NA,NA,obligatorische Schule,kein | keine,Sonstige Bürokräfte und verwandte Berufe
id02434,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,verheiratet,Schweiz,TRUE,26-35,"ohne Arbeit, beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,kein | keine,"Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker"
id02167,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,18-25,in Ausbildung (ohne Lehrlinge),NA,NA,"Maturität, Berufsmatura, Diplommittelschule",kein | keine,kein | keine
id04927,0.91875,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,FALSE,26-35,"ohne Arbeit, beim Arbeitsamt gemeldet",NA,NA,Berufslehre/-schule,Ingenieurtechnische und vergleichbare Fachkräfte,Reinigungspersonal und Hilfskräfte
id03789,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (2-3),Alleinstehend,ledig,Schweiz,TRUE,56-65,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,kein | keine,Betreuungsberufe
id02124,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,2,Mehrfachhaushalt (2-3),Person mit Kind / Kinder,geschieden,Schweiz,TRUE,36-45,Dauerinvalidität,NA,NA,Anlehre,kein | keine,kein | keine
id04854,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,36-45,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,Berufslehre/-schule,Bürokräfte mit Kundenkontakt,Hilfskräfte in der Nahrungsmittelzubereitung
id01155,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,56-65,vorübergehend arbeitsunfähig,NA,NA,Berufslehre/-schule,"Präzisionshandwerker, Drucker und kunsthandwerkliche Berufe","Präzisionshandwerker, Drucker und kunsthandwerkliche Berufe"
id00458,0.954070981,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,geschieden,Schweiz,FALSE,56-65,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,Berufslehre/-schule,Bediener stationärer Anlagen und Maschinen,Reinigungspersonal und Hilfskräfte
id03166,0.91875,Sozialhilfe,Inländer/innen,Rückerstattung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,FALSE,36-45,"Angestellt, regelmässig",NA,NA,Berufslehre/-schule,Berufe im Bereich personenbezogener Dienstleistungen,NA
id02512,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,26-35,Arbeit auf Abruf,Eine Teilzeitstelle (bis 49%),Krankheit,obligatorische Schule,kein | keine,Informations- und Kommunikationstechniker
id03524,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,geschieden,Schweiz,TRUE,56-65,vorübergehend arbeitsunfähig,NA,NA,Berufslehre/-schule,"Hilfsarbeiter im Bergbau, im Bau, bei der Herstellung von Waren und im Transportwesen",Schutzkräfte und Sicherheitsbedienstete
id00960,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,26-35,"ohne Arbeit, beim Arbeitsamt gemeldet",NA,NA,Berufslehre/-schule,Verkaufskräfte,Verkaufskräfte
id00949,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (>3),Alleinstehend,ledig,Schweiz,TRUE,26-35,zeitlich befristeter Vertrag,Eine Teilzeitstelle (50-89%),keine Vollzeitstelle,Berufslehre/-schule,Verkaufskräfte,Verkaufskräfte
id02890,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,26-35,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,Berufslehre/-schule,Verkaufskräfte,Verkaufskräfte
id00353,0.954070981,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (2-3),Alleinstehend,geschieden,Schweiz,FALSE,46-55,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,nicht feststellbar,kein | keine,Bürokräfte mit Kundenkontakt
id01708,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (2-3),Alleinstehend,ledig,Schweiz,TRUE,26-35,"ohne Arbeit, beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,kein | keine,"Hilfsarbeiter im Bergbau, im Bau, bei der Herstellung von Waren und im Transportwesen"
id00153,0.919834711,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (2-3),Alleinstehend,verheiratet,Schweiz,FALSE,56-65,NA,NA,NA,Berufslehre/-schule,"Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker","Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker"
id00493,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,geschieden,Schweiz,TRUE,56-65,vorübergehend arbeitsunfähig,NA,NA,Berufslehre/-schule,"Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker","Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker"
id03423,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,56-65,"ohne Arbeit, beim Arbeitsamt gemeldet",NA,NA,Berufslehre/-schule,"Naturwissenschaftler, Mathematiker und Ingenieure","Naturwissenschaftler, Mathematiker und Ingenieure"
id03495,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,46-55,vorübergehend arbeitsunfähig,NA,NA,Berufslehre/-schule,Ingenieurtechnische und vergleichbare Fachkräfte,Sonstige Bürokräfte und verwandte Berufe
id02876,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (2-3),Alleinstehend,ledig,Schweiz,TRUE,18-25,in der Lehre,Vollzeit(90+),NA,obligatorische Schule,kein | keine,Elektriker und Elektroniker
id00907,0.954070981,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,geschieden,Schweiz,FALSE,56-65,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,"Maturität, Berufsmatura, Diplommittelschule",kein | keine,"Hilfsarbeitskräfte, onA"
id04618,0.919834711,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,FALSE,18-25,NA,NA,NA,NA,NA,NA
id02402,0.91875,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (>3),Alleinstehend,ledig,Schweiz,FALSE,18-25,in Ausbildung (ohne Lehrlinge),NA,NA,Berufslehre/-schule,Allgemeine Büro- und Sekretariatskräfte,kein | keine
id04189,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,2,Mehrfachhaushalt (2-3),Person mit Kind / Kinder,ledig,Schweiz,TRUE,18-25,"ohne Arbeit, beim Arbeitsamt gemeldet",NA,NA,Anlehre,Verkaufskräfte,Betreuungsberufe
id02572,0.982905983,Sozialhilfe,Ausländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (2-3),Alleinstehend,geschieden,Schweiz,TRUE,56-65,"ohne Arbeit, beim Arbeitsamt gemeldet",NA,NA,höhere Fach- und Berufsausbildung,"Juristische, soziale, kulturelle und verwandte Fachkräfte","Juristische, soziale, kulturelle und verwandte Fachkräfte"
id02564,0.91875,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,3,Mehrfachhaushalt (>3),Person mit Kind / Kinder,ledig,Schweiz,FALSE,36-45,in der Lehre,Vollzeit(90+),NA,obligatorische Schule,kein | keine,Allgemeine Büro- und Sekretariatskräfte
id00938,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,3,Mehrfachhaushalt (2-3),Person mit Kind / Kinder,geschieden,Schweiz,TRUE,36-45,"ohne Arbeit, beim Arbeitsamt gemeldet",NA,NA,Berufslehre/-schule,Allgemeine Büro- und Sekretariatskräfte,Betriebswirte und vergleichbare Spezialisten
id01062,0.954070981,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,geschieden,Schweiz,FALSE,56-65,vorübergehend arbeitsunfähig,NA,NA,obligatorische Schule,kein | keine,NA
id04550,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,3,Mehrfachhaushalt (2-3),Person mit Kind / Kinder,geschieden,Schweiz,TRUE,36-45,vorübergehend arbeitsunfähig,NA,NA,obligatorische Schule,NA,Reinigungspersonal und Hilfskräfte
id03292,0.954070981,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,3,Mehrfachhaushalt (2-3),Paar mit Kind / Kinder,verheiratet,Schweiz,FALSE,46-55,vorübergehend arbeitsunfähig,NA,NA,Berufslehre/-schule,"Juristische, soziale, kulturelle und verwandte Fachkräfte","Metallarbeiter, Mechaniker, Polymechaniker, Produktionsmechaniker und verwandte Berufe"
id04353,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,geschieden,Schweiz,TRUE,56-65,"Angestellt, regelmässig",Vollzeit(90+),NA,Berufslehre/-schule,Hilfskräfte in der Nahrungsmittelzubereitung,Fahrzeugführer und Bediener mobiler Anlagen
id00265,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,>3,Mehrfachhaushalt (>3),Person mit Kind / Kinder,verheiratet,Schweiz,TRUE,36-45,Arbeit auf Abruf,Mehrere Teilzeitstellen,NA,"Maturität, Berufsmatura, Diplommittelschule",kein | keine,Betreuungsberufe
id03137,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,56-65,"Angestellt, regelmässig",Eine Teilzeitstelle (bis 49%),keine Vollzeitstelle,Berufslehre/-schule,NA,NA
id03551,0.91875,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,>3,Mehrfachhaushalt (>3),Paar mit Kind / Kinder,verheiratet,Schweiz,FALSE,36-45,"Angestellt, regelmässig",Eine Teilzeitstelle (50-89%),keine Vollzeitstelle,obligatorische Schule,kein | keine,Fahrzeugführer und Bediener mobiler Anlagen
id02745,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,26-35,"ohne Arbeit, beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,kein | keine,Berufe im Bereich personenbezogener Dienstleistungen
id01963,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,26-35,Arbeit auf Abruf,Eine Teilzeitstelle (bis 49%),keine Vollzeitstelle,obligatorische Schule,kein | keine,Betreuungsberufe
id00705,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,26-35,vorübergehend arbeitsunfähig,NA,NA,Berufslehre/-schule,Allgemeine Büro- und Sekretariatskräfte,Elektriker und Elektroniker
id00937,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,36-45,vorübergehend arbeitsunfähig,NA,NA,Berufslehre/-schule,Allgemeine Büro- und Sekretariatskräfte,Allgemeine Büro- und Sekretariatskräfte
id03453,0.91875,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,3,Mehrfachhaushalt (2-3),Person mit Kind / Kinder,verheiratet,Schweiz,FALSE,26-35,"Angestellt, regelmässig",Eine Teilzeitstelle (50-89%),"Haushalt, familiäre Gründe",obligatorische Schule,kein | keine,kein | keine
id03865,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (2-3),Alleinstehend,ledig,Schweiz,TRUE,56-65,vorübergehend arbeitsunfähig,NA,NA,Berufslehre/-schule,NA,Abfallentsorgungsarbeiter und sonstige Hilfsarbeitskräfte
id02721,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,18-25,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,Anlehre,Berufe im Bereich personenbezogener Dienstleistungen,Betreuungsberufe
id02381,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (2-3),Alleinstehend,ledig,Schweiz,TRUE,36-45,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,Berufslehre/-schule,Betreuungsberufe,Betreuungsberufe
id02821,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,18-25,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,Berufslehre/-schule,Berufe im Bereich personenbezogener Dienstleistungen,Berufe im Bereich personenbezogener Dienstleistungen
id01055,0.982905983,Sozialhilfe,Kopfquote,Sozialhilfeleistung,>3,Mehrfachhaushalt (>3),Paar mit Kind / Kinder,verheiratet,Schweiz,TRUE,56-65,vorübergehend arbeitsunfähig,NA,NA,obligatorische Schule,kein | keine,"Hilfsarbeitskräfte, onA"
id00079,0.982905983,Sozialhilfe,Kopfquote,Sozialhilfeleistung,>3,Mehrfachhaushalt (>3),Paar mit Kind / Kinder,verheiratet,Schweiz,TRUE,46-55,"ohne Arbeit, beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,kein | keine,Fahrzeugführer und Bediener mobiler Anlagen
id01306,0.954070981,Sozialhilfe,Kopfquote,Sozialhilfeleistung,>3,Mehrfachhaushalt (>3),Paar mit Kind / Kinder,verheiratet,Schweiz,FALSE,46-55,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,kein | keine,"Führungskräfte in Hotels und Restaurants, im Handel und in der Erbringung sonstiger Dienstleistungen"
id02482,0.91875,Sozialhilfe,Ausländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,geschieden,Restliches Europa,FALSE,56-65,anderes (nicht erwerbstätig),NA,NA,obligatorische Schule,kein | keine,"Hilfsarbeitskräfte, onA"
id01190,0.954070981,Sozialhilfe,Ausländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Restliches Europa,FALSE,36-45,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,kein | keine,"Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker"
id03287,0.982905983,Sozialhilfe,Ausländer/innen,Rückerstattung,3,Mehrfachhaushalt (2-3),Paar mit Kind / Kinder,verheiratet,Restliches Europa,TRUE,46-55,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,kein | keine,Hilfskräfte in der Nahrungsmittelzubereitung
id01274,0.982905983,Sozialhilfe,Ausländer/innen,Sozialhilfeleistung,2,Mehrfachhaushalt (2-3),Person mit Kind / Kinder,geschieden,Restliches Europa,TRUE,36-45,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,Anlehre,Verkaufskräfte,Verkaufskräfte
id00982,0.91875,Sozialhilfe,Ausländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (2-3),Alleinstehend,geschieden,Restliches Europa,FALSE,36-45,"ohne Arbeit, beim Arbeitsamt gemeldet",NA,NA,Berufslehre/-schule,"Metallarbeiter, Mechaniker, Polymechaniker, Produktionsmechaniker und verwandte Berufe","Metallarbeiter, Mechaniker, Polymechaniker, Produktionsmechaniker und verwandte Berufe"
id00208,1,Sozialhilfe,VA Ausländer/in ab 7 J.,Sozialhilfeleistung,1,Mehrfachhaushalt (2-3),Alleinstehend,ledig,Afrika,FALSE,26-35,vorübergehend arbeitsunfähig,NA,NA,obligatorische Schule,kein | keine,kein | keine
id02825,0.91875,Sozialhilfe,Ausländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (>3),Alleinstehend,verheiratet,Afrika,FALSE,36-45,"Angestellt, regelmässig",Vollzeit(90+),NA,nicht feststellbar,kein | keine,"Hilfsarbeiter im Bergbau, im Bau, bei der Herstellung von Waren und im Transportwesen"
id01264,0.91875,Sozialhilfe,Ausländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,geschieden,EU / EFTA,FALSE,56-65,"Angestellt, regelmässig",Eine Teilzeitstelle (bis 49%),keine Vollzeitstelle,obligatorische Schule,kein | keine,Reinigungspersonal und Hilfskräfte
id04661,0.982905983,Sozialhilfe,Ausländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,EU / EFTA,TRUE,56-65,Dauerinvalidität,NA,NA,Universität/Hochschule/Fachhochschule,Spezialisten in der Informations- und Kommunikationstechnologie,Spezialisten in der Informations- und Kommunikationstechnologie
id04680,0.91875,Sozialhilfe,Ausländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,EU / EFTA,FALSE,36-45,"Angestellt, regelmässig",Vollzeit(90+),NA,Anlehre,"Hilfsarbeiter im Bergbau, im Bau, bei der Herstellung von Waren und im Transportwesen",Fahrzeugführer und Bediener mobiler Anlagen
id00111,0.954070981,Sozialhilfe,Ausländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,geschieden,EU / EFTA,FALSE,56-65,vorübergehend arbeitsunfähig,NA,NA,obligatorische Schule,kein | keine,"Hilfsarbeiter im Bergbau, im Bau, bei der Herstellung von Waren und im Transportwesen"
id02551,0.91875,Sozialhilfe,Flüchtling ab 5 J.,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Asien,FALSE,26-35,"Angestellt, regelmässig",Vollzeit(90+),NA,obligatorische Schule,NA,Hilfskräfte in der Nahrungsmittelzubereitung
id00190,0.91875,Sozialhilfe,Ausländer/innen,Sozialhilfeleistung,2,Mehrfachhaushalt (2-3),Person mit Kind / Kinder,verheiratet,Asien,FALSE,46-55,"Angestellt, regelmässig",Eine Teilzeitstelle (50-89%),keine Vollzeitstelle,obligatorische Schule,kein | keine,kein | keine
id00851,0.919834711,Sozialhilfe,Ausländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Afrika,FALSE,36-45,NA,NA,NA,nicht feststellbar,kein | keine,"Hilfsarbeitskräfte, onA"
id03931,0.954070981,Sozialhilfe,Flüchtling ab 5 J.,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Asien,FALSE,26-35,zeitlich befristeter Vertrag,NA,NA,obligatorische Schule,kein | keine,Spezialisten in der Informations- und Kommunikationstechnologie
id03160,0.954070981,Sozialhilfe,Ausländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Asien,FALSE,26-35,Arbeit auf Abruf,Eine Teilzeitstelle (bis 49%),keine Vollzeitstelle,Anlehre,"Berufe in der Nahrungsmittelverarbeitung, Holzverarbeitung und Bekleidungsherstellung und verwandte handwerkliche Fachkräfte",Berufe im Bereich personenbezogener Dienstleistungen
id00498,0.91875,Sozialhilfe,Ausländer/innen,Rückerstattung,2,Mehrfachhaushalt (2-3),Paar ohne Kind / Kinder,verheiratet,Afrika,FALSE,56-65,"ohne Arbeit, beim Arbeitsamt gemeldet",NA,NA,Berufslehre/-schule,Bediener stationärer Anlagen und Maschinen,Bediener stationärer Anlagen und Maschinen
id02476,1,Sozialhilfe,Ausländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,geschieden,Afrika,FALSE,46-55,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,kein | keine,"Hilfsarbeiter im Bergbau, im Bau, bei der Herstellung von Waren und im Transportwesen"
id00565,0.91875,Sozialhilfe,Ausländer/innen,Sozialhilfeleistung,2,Mehrfachhaushalt (2-3),Paar ohne Kind / Kinder,verheiratet,Restliches Europa,FALSE,56-65,Rentner/in,NA,NA,obligatorische Schule,kein | keine,Berufe im Bereich personenbezogener Dienstleistungen
